state,biggest_height
New Jersey,218
Ukraine,216
China,229
Cuba,208
Switzerland,213
Cameroon,213
U.S. Virgin Islands,213
Mexico,211
North Carolina,218
Georgia,218
Nebraska,218
Russia,226
South Carolina,213
Kansas,216
Dominica,218
Utah,213
Republic of Korea,221
Democratic Republic of the Congo,218
Bahamas,208
Jamaica,213
Slovenia,218
Estonia,206
Iceland,218
Montenegro,221
Islamic Republic of Iran,218
Serbia,226
Arkansas,213
Nigeria,216
Maryland,216
Bulgaria,203
New Hampshire,208
Denmark,208
Puerto Rico,208
Connecticut,221
Indiana,213
Alabama,213
Minnesota,221
Italy,213
Arizona,203
Missouri,216
Argentina,208
Nevada,206
Australia,218
Romania,231
Republic of the Congo,208
Maine,206
Uruguay,208
Lithuania,221
California,224
New York,218
Sweden,208
Luxembourg,211
Tennessee,213
Panama,213
Egypt,208
Oklahoma,211
Poland,218
Canada,226
Dominican Republic,216
Guadeloupe,201
Guyana,206
Spain,216
Gabon,203
Rhode Island,203
South Sudan,231
Bosnia and Herzegovina,216
Trinidad and Tobago,206
South Dakota,211
Norway,206
Florida,218
Latvia,221
Idaho,213
Ireland,211
Turkey,213
Greece,216
Mississippi,213
Austria,213
Mali,213
Slovakia,208
Louisiana,213
Oregon,213
Wisconsin,216
Texas,218
Martinique,208
Iowa,213
Illinois,224
Croatia,218
District of Columbia,213
New Mexico,213
Colorado,226
Delaware,201
Germany,229
Israel,206
Lebanon,211
Kentucky,213
Netherlands,224
United Republic of Tanzania,221
Senegal,213
Montana,211
Saint Vincent and the Grenadines,208
Cape Verde,221
French Guiana,206
Czech Republic,213
Michigan,216
Virginia,224
Massachusetts,213
FYR Macedonia,211
Ohio,218
Washington,216
Wyoming,206
Tunisia,216
Brazil,216
New Zealand,213
Taiwan,203
United Kingdom,218
France,218
North Dakota,213
West Virginia,213
Haiti,211
Finland,211
Hawaii,206
Pennsylvania,216
